"canonical_name","ingredient_type","allergen_codes","certainty","e_number","additive_category_code","concern_level","aliases","explanation_en"
"Crab extract","allergen_source","SHELLFISH","definite","","","","crab flavouring","A flavouring derived from crab, sometimes used in imitation seafood."
"Sesame oil","allergen_source","SESAME","definite","","","","gingelly oil|til oil","Oil pressed from sesame seeds."
"Tahini","allergen_source","SESAME","definite","","","","sesame paste|tahina|ardeh|sesame butter","A paste made from ground sesame seeds."
"Sodium benzoate","additive","","","E211","PRESERVATIVE","1","","A preservative that inhibits the growth of mould, yeast and some bacteria."
"Potassium sorbate","additive","","","E202","PRESERVATIVE","1","","A preservative widely used to prevent mould and yeast growth in food."
"Sodium nitrite","additive","","","E250","PRESERVATIVE","3","","A preservative and colour-fixative used mainly in cured meats; consumption is regulated due to nitrosamine formation risk when overheated."
"Citric acid","additive","","","E330","ACIDITY_REGULATOR","1","","A natural acid used to add tartness and control acidity; also acts as a preservative."
"Ascorbic acid","additive","","","E300","ANTIOXIDANT","1","vitamin C","Vitamin C, used both as a nutrient and to prevent browning/oxidation."
"Sodium erythorbate","additive","","","E316","ANTIOXIDANT","1","","An antioxidant closely related to vitamin C, used to preserve colour and freshness."
"Xanthan gum","additive","","","E415","THICKENER","1","","A common thickening and stabilising agent produced by fermenting sugar with bacteria."
"Carrageenan","additive","","","E407","STABILISER","2","","A thickener/stabiliser extracted from red seaweed."
"Aspartame","additive","","","E951","SWEETENER","2","","An artificial low-calorie sweetener. Not suitable for people with phenylketonuria (PKU)."
"Sucralose","additive","","","E955","SWEETENER","1","","An artificial low-calorie sweetener made from sugar."
"Sunset yellow","additive","","","E110","COLOUR","3","sunset yellow fcf","A synthetic orange-yellow food colouring; some studies link azo dyes to hyperactivity in sensitive children."
"Allura red","additive","","","E129","COLOUR","3","allura red ac","A synthetic red food colouring; some studies link azo dyes to hyperactivity in sensitive children."
"Maltodextrin","neutral","","","","","","","A mildly sweet carbohydrate filler made from starch. Not an allergen itself, but can be derived from wheat or corn."
"Guar gum","additive","","","E412","THICKENER","1","","A thickening agent derived from guar beans."
"Calcium propionate","additive","","","E282","PRESERVATIVE","1","","A preservative commonly used in bread to inhibit mould growth."
"Whey protein hydrolysate","allergen_source","MILK","definite","","","","hydrolysed whey protein|hydrolyzed whey|whey peptides","Whey protein broken into smaller peptides; still contains milk protein and is unsafe for a milk allergy."
"Whey protein isolate","allergen_source","MILK","definite","","","","wpi|isolated whey protein","A highly refined milk protein from whey, common in protein powders and bars."
"Sodium caseinate","allergen_source","MILK","definite","","","","caseinate|sodium casein","A milk protein salt used as a whitener and emulsifier in coffee creamers and processed meats."
"Calcium caseinate","allergen_source","MILK","definite","","","","calcium casein","A milk protein salt used in nutrition bars, imitation cheese and supplements."
"Lactalbumin","allergen_source","MILK","definite","","","","alpha-lactalbumin|milk albumin","A whey protein fraction from milk."
"Lactoglobulin","allergen_source","MILK","definite","","","","beta-lactoglobulin","The major whey protein in cow's milk and a common trigger of milk allergy."
"Lactoferrin","allergen_source","MILK","definite","","","","milk lactoferrin","An iron-binding protein isolated from milk, used in some infant formulas and supplements."
"Rennet casein","allergen_source","MILK","definite","","","","cheese casein","A milk protein coagulated with rennet, used to make imitation and processed cheese."
"Milk fat","allergen_source","MILK","definite","","","","butterfat|anhydrous milk fat|amf|milk fat fraction","The fat portion of milk; can still carry traces of milk protein."
"Skimmed milk powder","allergen_source","MILK","definite","","","","skim milk powder|non-fat dry milk|nonfat milk solids|smp","Milk with the fat removed, then dried to a powder. Contains milk protein and lactose."
"Condensed milk","allergen_source","MILK","definite","","","","sweetened condensed milk","Milk reduced by evaporation and heavily sweetened."
"Evaporated milk","allergen_source","MILK","definite","","","","unsweetened condensed milk","Milk with about 60% of its water removed by evaporation."
"Cream","allergen_source","MILK","definite","","","","single cream|double cream|heavy cream|whipping cream|fresh cream","The high-fat layer of milk."
"Sour cream","allergen_source","MILK","definite","","","","soured cream|cultured cream","Cream fermented with lactic acid bacteria."
"Creme fraiche","allergen_source","MILK","definite","","","","crème fraîche","A soured cream of French origin with a high fat content."
"Cheese","allergen_source","MILK","definite","","","","cheddar|mozzarella|parmesan|gouda|edam|feta|cream cheese|processed cheese|cheese powder","A dairy product made by coagulating milk; all types contain milk protein."
"Paneer","allergen_source","MILK","definite","","","","cottage cheese|chhena|chenna","A fresh, non-melting cheese common in South Asian cooking."
"Curd","allergen_source","MILK","definite","","","","dahi|milk curd","Milk set with acid or culture; the South Asian equivalent of plain yoghurt."
"Yoghurt","allergen_source","MILK","definite","","","","yogurt|yoghurt powder","Milk fermented with live cultures."
"Kefir","allergen_source","MILK","definite","","","","milk kefir","A fermented milk drink made with kefir grains."
"Custard","allergen_source","MILK|EGG","definite","","","","custard powder|creme anglaise","A dessert sauce typically made from milk and egg yolks."
"Milk chocolate","allergen_source","MILK|SOY","definite","","","","","Chocolate made with milk solids; also usually contains soy lecithin."
"Khoya","allergen_source","MILK","definite","","","","mawa|khoa|dried whole milk solids","Milk thickened by long simmering, used in Indian sweets."
"Malai","allergen_source","MILK","definite","","","","clotted cream","The thick cream skimmed from boiled milk."
"Milk permeate","allergen_source","MILK","probable","","","","dairy permeate|deproteinised whey","The lactose-rich liquid left after proteins are filtered from milk; may retain traces of milk protein."
"Recaldent","allergen_source","MILK","definite","","","","cpp-acp|casein phosphopeptide","A milk-derived compound (from casein) added to some chewing gums and dental products."
"Lactose","allergen_source","MILK","probable","","","","milk sugar","The natural sugar of milk. Usually carries trace milk protein and is avoided in milk allergy."
"Butter oil","allergen_source","MILK","definite","","","","clarified butter oil","Concentrated milk fat with water and solids removed."
"Buttermilk powder","allergen_source","MILK","definite","","","","dried buttermilk|buttermilk solids","Dried buttermilk, used in ranch seasoning, pancakes and baked goods."
"Milk protein concentrate","allergen_source","MILK","definite","","","","mpc|milk protein isolate|mpi","Milk filtered to concentrate both casein and whey proteins."
"Whole egg","allergen_source","EGG","definite","","","","egg|hen egg|dried egg|egg powder|liquid egg|pasteurised egg|frozen egg","Hen's egg in any form — fresh, dried or liquid."
"Egg yolk","allergen_source","EGG","definite","","","","dried egg yolk|egg yolk powder|yolk","The yellow part of the egg, rich in fat and the protein livetin."
"Egg white powder","allergen_source","EGG","definite","","","","dried egg white|dried albumen|spray-dried egg white","Dehydrated egg white, used in meringues, marshmallows and protein products."
"Ovalbumin","allergen_source","EGG","definite","","","","ova albumin","The most abundant protein in egg white."
"Ovomucoid","allergen_source","EGG","definite","","","","egg ovomucoid","A heat-stable egg-white protein and a major egg allergen."
"Ovotransferrin","allergen_source","EGG","definite","","","","conalbumin","An iron-binding protein of egg white."
"Ovoglobulin","allergen_source","EGG","definite","","","","egg globulin","A group of egg-white proteins."
"Livetin","allergen_source","EGG","definite","","","","egg livetin|alpha-livetin","An egg-yolk protein also linked to bird-egg syndrome."
"Vitellin","allergen_source","EGG","definite","","","","ovovitellin|egg vitellin","The main phosphoprotein of egg yolk."
"Egg lecithin","allergen_source","EGG","definite","E322","EMULSIFIER","1","lecithin (egg)","Lecithin extracted from egg yolk; used as an emulsifier and unsafe in egg allergy."
"Meringue","allergen_source","EGG","definite","","","","meringue powder","Whipped egg white and sugar, baked until crisp."
"Mayonnaise","allergen_source","EGG","definite","","","","mayo|egg mayonnaise|aioli","An emulsion of oil, egg yolk and an acid such as vinegar or lemon juice."
"Egg wash","allergen_source","EGG","definite","","","","egg glaze","Beaten egg brushed onto pastry and bread for a glossy finish."
"Powdered egg","allergen_source","EGG","definite","","","","egg solids|dehydrated egg","Whole egg dried to a shelf-stable powder, common in cake mixes."
"Peanut flour","allergen_source","PEANUT","definite","","","","defatted peanut flour|peanut powder","Ground, often partly de-fatted peanuts, used in baked goods, sauces and sports nutrition."
"Hydrolysed peanut protein","allergen_source","PEANUT","definite","","","","hydrolyzed peanut protein|peanut protein hydrolysate","Peanut protein broken into peptides; still allergenic."
"Peanut protein","allergen_source","PEANUT","definite","","","","peanut protein isolate|arachis protein","Concentrated protein extracted from peanuts."
"Groundnut","allergen_source","PEANUT","definite","","","","groundnuts|monkey nut|monkey nuts|arachis hypogaea|arachis|earthnut","Another name for peanut, common on South Asian and UK labels."
"Mandelonas","allergen_source","PEANUT","definite","","","","nu-nuts|flavoured peanuts","Peanuts soaked and flavoured to imitate almonds or pecans."
"Beer nuts","allergen_source","PEANUT","definite","","","","","A sweet-and-salty glazed peanut snack."
"Peanut butter chips","allergen_source","PEANUT|SOY|MILK","definite","","","","peanut butter baking chips","Baking chips made from peanut butter, sugar, milk and soy lecithin."
"Pecan","allergen_source","TREE_NUT","definite","","","","pecan nut|pecan meal|pecan butter","A tree nut related to walnut, common in pies and pralines."
"Pistachio","allergen_source","TREE_NUT","definite","","","","pistachio nut|pistachio paste|pistachio butter","A green tree nut used in ice cream, baklava and confectionery."
"Macadamia","allergen_source","TREE_NUT","definite","","","","macadamia nut|queensland nut|bush nut","A rich, buttery tree nut."
"Brazil nut","allergen_source","TREE_NUT","definite","","","","para nut","A large tree nut from the Amazon; a potent allergen."
"Pine nut","allergen_source","TREE_NUT","possible","","","","pignoli|pinon|cedar nut|chilgoza","The seed of pine trees, used in pesto. Regulatory treatment as a tree nut varies by country."
"Chestnut","allergen_source","TREE_NUT","definite","","","","sweet chestnut|marron","A starchy tree nut used roasted or as flour and puree."
"Almond meal","allergen_source","TREE_NUT","definite","","","","ground almonds|almond powder|almond butter|almond paste|marzipan|almond milk","Ground almonds; the base of marzipan and many gluten-free bakes."
"Nut butter","allergen_source","TREE_NUT","definite","","","","mixed nut butter|hazelnut butter","A spread made from ground tree nuts."
"Gianduja","allergen_source","TREE_NUT|MILK|SOY","definite","","","","gianduia|hazelnut chocolate","A sweet chocolate blended with hazelnut paste; usually also contains milk and soy lecithin."
"Nougat","allergen_source","TREE_NUT|EGG","definite","","","","turron|torrone","A confection of whipped egg white, sugar and roasted nuts (often almond or pistachio)."
"Praline","allergen_source","TREE_NUT","definite","","","","hazelnut praline|almond praline","Caramelised sugar set with nuts, usually almonds or hazelnuts, then ground."
"Walnut oil","allergen_source","TREE_NUT","definite","","","","","Oil pressed from walnuts; unrefined oils retain nut protein."
"Natural almond flavouring","allergen_source","TREE_NUT","possible","","","","bitter almond flavour","Almond flavouring; natural forms can be derived from almond or stone-fruit kernels and may carry nut protein."
"Amaretto","allergen_source","TREE_NUT","possible","","","","almond liqueur","An almond-flavoured liqueur; some brands are made with almond or apricot kernels."
"Coconut","allergen_source","TREE_NUT","possible","","","","desiccated coconut|coconut flesh|creamed coconut|coconut flour","A palm fruit. The US FDA classifies it as a tree nut for labelling; most people with tree-nut allergy tolerate it, but check with a doctor."
"Soybean","allergen_source","SOY","definite","","","","soya bean|soja|glycine max|soybeans","The bean from which most soy ingredients are made."
"Edamame","allergen_source","SOY","definite","","","","green soybeans|mukimame","Immature soybeans, served in the pod or shelled."
"Tofu","allergen_source","SOY","definite","","","","bean curd|soybean curd|dou fu","Soy milk curdled and pressed into blocks."
"Tempeh","allergen_source","SOY","definite","","","","fermented soybean cake","A firm cake of whole soybeans fermented with a mould."
"Miso","allergen_source","SOY","definite","","","","miso paste|soybean paste|doenjang","A fermented soybean paste; some varieties also contain barley or rice."
"Natto","allergen_source","SOY","definite","","","","fermented soybeans","Sticky fermented whole soybeans."
"Soy flour","allergen_source","SOY","definite","","","","soya flour|soybean flour|kinako|roasted soy flour","Finely ground soybeans, used to enrich bread and as a binder."
"Soy milk","allergen_source","SOY","definite","","","","soya milk|soy drink|soy beverage","A drink made by soaking and grinding soybeans."
"Textured vegetable protein","allergen_source","SOY","definite","","","","tvp|textured soy protein|soy chunks|soya mince|soy nuggets","Defatted soy flour processed into a chewy, meat-like texture."
"Hydrolysed soy protein","allergen_source","SOY","definite","","","","hydrolyzed soy protein|hsp|soy protein hydrolysate","Soy protein broken down with acid or enzymes and used as a savoury flavouring."
"Soybean oil","allergen_source","SOY","probable","","","","soya oil|soy oil|soyabean oil","Oil from soybeans. Highly refined soybean oil is generally tolerated, but cold-pressed oil retains protein."
"Tamari","allergen_source","SOY","definite","","","","tamari soy sauce","A mostly-wheat-free Japanese soy sauce; still contains soy and some brands add wheat."
"Shoyu","allergen_source","SOY|WHEAT","definite","","","","japanese soy sauce","A Japanese soy sauce brewed from soybeans and roughly equal wheat."
"Okara","allergen_source","SOY","definite","","","","soy pulp|tofu lees|soybean pulp","The fibrous pulp left after making soy milk or tofu."
"Yuba","allergen_source","SOY","definite","","","","tofu skin|bean curd skin|soy milk skin","The skin that forms on heated soy milk, dried into sheets."
"Soy sauce powder","allergen_source","SOY|WHEAT","definite","","","","soya sauce powder|dried soy sauce","Dehydrated soy sauce used in seasoning blends and snack coatings."
"Wheat starch","allergen_source","WHEAT|GLUTEN","definite","","","","","Starch separated from wheat flour; can retain small amounts of gluten unless labelled gluten-free."
"Wheat bran","allergen_source","WHEAT|GLUTEN","definite","","","","","The fibrous outer layer of the wheat grain."
"Wheat germ","allergen_source","WHEAT|GLUTEN","definite","","","","wheatgerm|wheat germ oil","The nutrient-rich embryo of the wheat grain."
"Hydrolysed wheat protein","allergen_source","WHEAT|GLUTEN","definite","","","","hydrolyzed wheat protein|hwp|wheat protein hydrolysate","Wheat protein broken into peptides, used in sauces, meat substitutes and some cosmetics."
"Farina","allergen_source","WHEAT|GLUTEN","definite","","","","wheat farina|cream of wheat","A milled wheat cereal, coarser than flour."
"Bulgur","allergen_source","WHEAT|GLUTEN","definite","","","","bulghur|burghul|cracked wheat","Parboiled, dried and cracked wheat, used in tabbouleh and pilafs."
"Couscous","allergen_source","WHEAT|GLUTEN","definite","","","","cous cous|moghrabieh","Tiny steamed granules of rolled durum-wheat semolina."
"Spelt","allergen_source","WHEAT|GLUTEN","definite","","","","dinkel wheat|spelt flour","An ancient variety of wheat; contains gluten and cross-reacts with wheat allergy."
"Kamut","allergen_source","WHEAT|GLUTEN","definite","","","","khorasan wheat|oriental wheat","A large-grained ancient wheat, sold under the Kamut trademark."
"Einkorn","allergen_source","WHEAT|GLUTEN","definite","","","","einkorn wheat","One of the earliest cultivated wheats; still a gluten-containing wheat."
"Emmer","allergen_source","WHEAT|GLUTEN","definite","","","","emmer wheat|farro","An ancient hulled wheat, often sold as farro."
"Triticale","allergen_source","WHEAT|GLUTEN","definite","","","","","A wheat–rye hybrid grain; contains gluten."
"Seitan","allergen_source","WHEAT|GLUTEN","definite","","","","wheat meat|mock duck","Cooked wheat gluten used as a high-protein meat substitute."
"Matzo","allergen_source","WHEAT|GLUTEN","definite","","","","matzah|matza|matzo meal|matzah meal","An unleavened wheat flatbread; matzo meal is ground matzo."
"Graham flour","allergen_source","WHEAT|GLUTEN","definite","","","","graham cracker crumb","A coarse wholewheat flour used in graham crackers and pie crusts."
"Maida","allergen_source","WHEAT|GLUTEN","definite","","","","refined wheat flour","Finely milled, refined wheat flour common in South Asian cooking."
"Atta","allergen_source","WHEAT|GLUTEN","definite","","","","chapati flour|wholewheat atta|roti flour","Wholewheat flour used for chapati, roti and paratha."
"Rava","allergen_source","WHEAT|GLUTEN","definite","","","","sooji|suji","Coarse wheat semolina used in upma, rava dosa and halwa."
"Durum wheat","allergen_source","WHEAT|GLUTEN","definite","","","","triticum durum|pasta wheat","The hard wheat used to make pasta and couscous."
"Barley","allergen_source","GLUTEN","definite","","","","pearl barley|barley flour|barley flakes|hordeum vulgare","A gluten-containing cereal grain; not wheat, but unsafe for coeliac disease."
"Barley malt extract","allergen_source","GLUTEN","definite","","","","malt extract|malted barley extract|liquid malt","A syrup from sprouted barley, used for flavour and colour in cereals and baked goods."
"Malt","allergen_source","GLUTEN","definite","","","","malted barley|malt flavouring|malt syrup|diastatic malt","Sprouted then kilned grain, almost always barley; contains gluten."
"Malt vinegar","allergen_source","GLUTEN","probable","","","","barley malt vinegar","Vinegar made from malted barley; may contain residual gluten."
"Rye","allergen_source","GLUTEN","definite","","","","rye flour|rye flakes|rye meal|secale cereale|pumpernickel","A gluten-containing grain used in dark and sourdough breads."
"Oats","allergen_source","GLUTEN","possible","","","","oat|rolled oats|oat flour|oatmeal|porridge oats|oat bran","Oats are gluten-free by nature but very often cross-contaminated with wheat, barley or rye unless labelled gluten-free."
"Brewer's yeast","allergen_source","GLUTEN","possible","","","","brewers yeast","A by-product of beer brewing; can carry gluten from the barley mash."
"Wheat dextrin","allergen_source","WHEAT|GLUTEN","possible","","","","resistant wheat dextrin","A soluble fibre made from wheat starch; highly processed but still declared as wheat."
"Modified wheat starch","allergen_source","WHEAT|GLUTEN","definite","","","","","Wheat starch chemically or physically altered to change its thickening behaviour."
"Cod","allergen_source","FISH","definite","","","","codfish|salt cod|bacalao|cod roe","A white-fleshed fish; salt cod and cod roe are common processed forms."
"Salmon","allergen_source","FISH","definite","","","","smoked salmon|salmon oil|salmon roe|lox","An oily pink fish, eaten fresh, smoked or cured."
"Tuna","allergen_source","FISH","definite","","","","canned tuna|tuna flakes|katsuo","A large oily fish, widely canned."
"Sardine","allergen_source","FISH","definite","","","","pilchard|sardines","A small oily fish, usually canned."
"Mackerel","allergen_source","FISH","definite","","","","","An oily fish, often smoked or canned."
"Herring","allergen_source","FISH","definite","","","","kipper|rollmop|pickled herring|schmaltz herring","An oily fish, frequently pickled or smoked."
"Anchovy","allergen_source","FISH","definite","","","","anchovies|anchovy paste|colatura","A small, strongly flavoured fish used whole or as a paste; hidden in many sauces and dressings."
"Worcestershire sauce","allergen_source","FISH","definite","","","","worcester sauce","A fermented condiment that contains anchovies."
"Fish stock","allergen_source","FISH","definite","","","","fish bouillon|fish broth|fumet|fish stock cube","A savoury liquid simmered from fish bones and trimmings."
"Bonito flakes","allergen_source","FISH","definite","","","","katsuobushi|bonito|dried bonito","Shavings of dried, smoked skipjack tuna, central to Japanese dashi."
"Dashi","allergen_source","FISH","definite","","","","dashi stock|hondashi|dashi powder","A Japanese stock usually made from bonito flakes and kombu seaweed."
"Fish oil","allergen_source","FISH","probable","","","","omega-3 fish oil|marine oil","Oil extracted from oily fish; refined fish oil often still contains fish protein."
"Isinglass","allergen_source","FISH","definite","","","","fish bladder|finings","A collagen from fish swim bladders used to clarify beer and wine."
"Surimi","allergen_source","FISH|SHELLFISH","definite","","","","imitation crab|crab sticks|seafood sticks|krab","A paste of minced white fish, moulded and flavoured to imitate crab or lobster."
"Caviar","allergen_source","FISH","definite","","","","fish roe|salmon roe|ikura|masago|tobiko|lumpfish roe","Salted fish eggs."
"Shrimp","allergen_source","SHELLFISH","definite","","","","prawn|prawns|shrimps|dried shrimp|shrimp meal|shrimp extract","A small crustacean; one of the most common shellfish allergens."
"Crab","allergen_source","SHELLFISH","definite","","","","crabmeat|crab paste|soft-shell crab","A crustacean eaten for its leg and body meat."
"Lobster","allergen_source","SHELLFISH","definite","","","","lobster meat|langouste|spiny lobster|lobster bisque","A large marine crustacean."
"Crayfish","allergen_source","SHELLFISH","definite","","","","crawfish|crawdad|yabby|ecrevisse","A freshwater crustacean resembling a small lobster."
"Langoustine","allergen_source","SHELLFISH","definite","","","","scampi|norway lobster|dublin bay prawn","A slim, lobster-like crustacean; 'scampi' on menus."
"Krill","allergen_source","SHELLFISH","definite","","","","krill oil|krill meal","Tiny shrimp-like crustaceans; krill oil is sold as an omega-3 supplement."
"Prawn paste","allergen_source","SHELLFISH","definite","","","","shrimp paste|belacan|terasi|kapi|bagoong|gapi","A pungent fermented paste of ground shrimp, used across Southeast Asia."
"Oyster","allergen_source","SHELLFISH","definite","","","","oysters|oyster extract","A bivalve mollusc; a mollusc-type shellfish."
"Oyster sauce","allergen_source","SHELLFISH","definite","","","","oyster flavoured sauce","A thick sauce made from oyster extract, sugar and salt."
"Mussel","allergen_source","SHELLFISH","definite","","","","mussels|green-lipped mussel|moules","A bivalve mollusc, usually steamed in the shell."
"Clam","allergen_source","SHELLFISH","definite","","","","clams|clam juice|vongole|clam extract","A bivalve mollusc; clam juice flavours chowders and sauces."
"Scallop","allergen_source","SHELLFISH","definite","","","","scallops|coquille","A bivalve mollusc, eaten for its sweet adductor muscle."
"Squid","allergen_source","SHELLFISH","definite","","","","calamari|squid ink","A cephalopod mollusc; served as calamari and its ink colours pasta and rice."
"Octopus","allergen_source","SHELLFISH","definite","","","","pulpo|tako","A cephalopod mollusc."
"Snail","allergen_source","SHELLFISH","definite","","","","escargot|land snail","An edible land mollusc; grouped with molluscan shellfish for allergy labelling."
"Abalone","allergen_source","SHELLFISH","definite","","","","paua|ormer|sea ear","A large marine gastropod mollusc."
"Cockle","allergen_source","SHELLFISH","definite","","","","cockles","A small edible bivalve mollusc."
"Whelk","allergen_source","SHELLFISH","definite","","","","sea snail|buccinum","An edible marine gastropod mollusc."
"Sesame seed","allergen_source","SESAME","definite","","","","sesame seeds|sesamum indicum|benne seed|benniseed|til|gingelly|ellu","Small oil-rich seeds used whole on breads and buns and ground into paste."
"Sesame flour","allergen_source","SESAME","definite","","","","sesame meal|ground sesame|sesame powder","Ground sesame seeds, sometimes used to boost protein in baked goods."
"Halva","allergen_source","SESAME","definite","","","","halvah|tahini halva","A dense sweet confection based on sesame paste and sugar."
"Gomashio","allergen_source","SESAME","definite","","","","gomasio|sesame salt","A Japanese condiment of toasted sesame seeds and salt."
"Za'atar","allergen_source","SESAME","definite","","","","zaatar|zahtar","A Middle Eastern spice blend of herbs, sumac and toasted sesame seeds."
"Hummus","allergen_source","SESAME","definite","","","","houmous|hommus|chickpea dip","A dip of blended chickpeas and tahini (sesame paste)."
"Toasted sesame oil","allergen_source","SESAME","definite","","","","cold-pressed sesame oil|unrefined sesame oil","Aromatic oil from roasted sesame seeds; retains sesame protein."
"Mustard seed","allergen_source","MUSTARD","definite","","","","mustard seeds|yellow mustard seed|brown mustard seed|black mustard seed|rai|sarson","The small seeds of the mustard plant; ground for condiments and used whole in pickles and curries."
"Mustard flour","allergen_source","MUSTARD","definite","","","","mustard powder|ground mustard|english mustard powder","Finely ground mustard seed."
"Prepared mustard","allergen_source","MUSTARD","definite","","","","dijon mustard|wholegrain mustard|american mustard|english mustard|mustard paste","A condiment of ground mustard seed mixed with vinegar, water and salt."
"Mustard oil","allergen_source","MUSTARD","definite","","","","kachi ghani|sarson ka tel","A pungent oil pressed from mustard seeds, common in South Asian cooking."
"Sulphur dioxide","additive","SULPHITE","definite","E220","PRESERVATIVE","2","sulfur dioxide|so2","A preservative and antioxidant used in dried fruit, wine and juices; can trigger asthma and is a declarable allergen above 10 mg/kg."
"Sodium sulphite","additive","SULPHITE","definite","E221","PRESERVATIVE","2","sodium sulfite","A sulphite preservative and antioxidant."
"Sodium bisulphite","additive","SULPHITE","definite","E222","PRESERVATIVE","2","sodium bisulfite|sodium hydrogen sulphite","A sulphite preservative used in wine and some processed foods."
"Sodium metabisulphite","additive","SULPHITE","definite","E223","PRESERVATIVE","2","sodium metabisulfite|sodium pyrosulphite","A widely used sulphite preservative in dried fruit, shrimp, wine and pickles."
"Potassium metabisulphite","additive","SULPHITE","definite","E224","PRESERVATIVE","2","potassium metabisulfite|potassium pyrosulphite","A sulphite preservative common in winemaking and dried fruit."
"Calcium sulphite","additive","SULPHITE","definite","E226","PRESERVATIVE","2","calcium sulfite","A sulphite preservative."
"Potassium bisulphite","additive","SULPHITE","definite","E228","PRESERVATIVE","2","potassium bisulfite|potassium hydrogen sulphite","A sulphite preservative used mainly in wine."
"Curcumin","additive","","","E100","COLOUR","1","turmeric colour|natural yellow 3","A yellow-orange colour extracted from turmeric root."
"Riboflavin","additive","","","E101","COLOUR","1","vitamin b2|lactoflavin","A yellow colour that is also vitamin B2."
"Quinoline yellow","additive","","","E104","COLOUR","3","food yellow 13","A synthetic greenish-yellow dye; linked to hyperactivity in sensitive children."
"Carmine","additive","","","E120","COLOUR","2","cochineal|carminic acid|natural red 4|crimson lake","A crimson colour made from cochineal insects; a concern for vegans and a rare allergen."
"Carmoisine","additive","","","E122","COLOUR","3","azorubine|food red 3","A synthetic red azo dye; linked to hyperactivity in sensitive children."
"Ponceau 4R","additive","","","E124","COLOUR","3","cochineal red a|new coccine|food red 7","A synthetic red azo dye; linked to hyperactivity in sensitive children."
"Erythrosine","additive","","","E127","COLOUR","2","food red 14","A cherry-pink synthetic colour used in glacé cherries."
"Patent blue V","additive","","","E131","COLOUR","2","food blue 5|acid blue 3","A synthetic blue colour."
"Indigotine","additive","","","E132","COLOUR","2","indigo carmine|food blue 1","A synthetic dark-blue colour."
"Brilliant blue FCF","additive","","","E133","COLOUR","2","food blue 2|acid blue 9","A bright synthetic blue colour, often blended to make greens."
"Caramel colour","additive","","","E150a","COLOUR","1","plain caramel|caustic caramel|caramel colouring","A brown colour made by heating sugars; the most widely used food colour, e.g. in colas and sauces."
"Sulphite ammonia caramel","additive","SULPHITE","possible","E150d","COLOUR","1","soft-drink caramel","The caramel colour class used in cola drinks; made with ammonium and sulphite compounds."
"Vegetable carbon","additive","","","E153","COLOUR","1","carbo medicinalis vegetalis|activated charcoal","A black colour made from charred plant material."
"Beta-carotene","additive","","","E160a","COLOUR","1","carotenes|mixed carotenes|provitamin a","An orange colour and vitamin-A precursor, naturally present in carrots."
"Annatto","additive","","","E160b","COLOUR","1","bixin|norbixin|achiote|roucou","An orange-red colour from the seeds of the achiote tree; a rare allergen."
